iter	Passed	Remaining
591	33666	23202
592	33722	23145
593	33789	23095
594	33851	23041
595	33923	22995
596	33975	22934
597	34037	22881
598	34102	22829
599	34157	22771
600	34225	22721
601	34279	22663
602	34344	22611
603	34412	22562
604	34478	22510
605	34541	22457
606	34604	22404
607	34674	22356
608	34743	22306
609	34811	22256
610	34881	22207
611	34949	22157
612	35022	22110
613	35100	22066
614	35168	22016
615	35239	21967
616	35293	21908
617	35359	21856
618	35412	21796
619	35465	21737
620	35523	21680
621	35574	21619
622	35628	21560
623	35681	21500
624	35746	21447
625	35803	21390
626	35892	21352
627	35954	21297
628	36022	21247
629	36091	21196
630	36145	21137
631	36214	21087
632	36261	21023
633	36308	20960
634	36373	20907
635	36429	20849
636	36475	20786
637	36521	20722
638	36578	20664
639	36641	20610
640	36705	20557
641	36760	20499
642	36819	20442
643	36878	20386
644	36939	20330
645	36993	20271
646	37039	20208
647	37114	20161
648	37185	20111
649	37264	20065
650	37315	20005
651	37389	19956
652	37469	19911
653	37536	19858
654	37609	19809
655	37657	19747
656	37721	19693
657	37780	19636
658	37842	19581
659	37907	19527
660	37968	19472
661	38037	19421
662	38101	19367
663	38160	19310
664	38224	19255
665	38280	19197
666	38343	19142
667	38408	19089
668	38479	19038
669	38552	18988
670	38607	18929
671	38684	18881
672	38748	18827
673	38803	18768
674	38877	18718
675	38939	18663
676	39003	18608
677	39072	18556
678	39137	18502
679	39207	18450
680	39277	18398
681	39351	18348
682	39407	18290
683	39482	18240
684	39557	18190
685	39617	18133
686	39671	18074
687	39743	18023
688	39808	17968
689	39874	17914
690	39945	17862
691	40006	17806
692	40069	17750
693	40132	17695
694	40189	17637
695	40248	17579
696	40313	17525
697	40364	17464
698	40422	17406
699	40482	17349
700	40532	17288
701	40594	17232
702	40656	17176
703	40714	17118
704	40773	17061
705	40835	17005
706	40902	16951
707	40964	16894
708	41010	16832
709	41057	16769
710	41114	16711
711	41181	16657
712	41241	16600
713	41298	16542
714	41351	16482
715	41409	16424
716	41466	16366
717	41531	16311
718	41595	16256
719	41666	16203
720	41724	16145
721	41785	16089
722	41853	16035
723	41917	15979
724	41980	15923
725	42043	15867
726	42103	15810
727	42178	15758
728	42237	15701
729	42308	15648
730	42377	15594
731	42454	15543
732	42527	15490
733	42594	15436
734	42661	15381
735	42733	15328
736	42795	15271
737	42880	15223
738	42958	15172
739	43027	15117
740	43099	15064
741	43169	15010
742	43231	14953
743	43294	14896
744	43362	14842
745	43418	14783
746	43497	14732
747	43573	14679
748	43648	14627
749	43725	14575
750	43796	14521
751	43867	14467
752	43939	14413
753	43999	14355
754	44066	14299
755	44122	14240
756	44181	14182
757	44249	14127
758	44329	14075
759	44400	14021
760	44474	13967
761	44547	13913
762	44637	13865
763	44719	13813
764	44810	13765
765	44896	13715
766	45034	13680
767	45129	13632
768	45221	13584
769	45297	13530
770	45388	13481
771	45491	13435
772	45582	13385
773	45705	13345
774	45771	13288
775	45872	13241
776	45976	13195
777	46122	13160
778	46196	13105
779	46329	13067
780	46411	13014
781	46472	12955
782	46541	12898
783	46600	12838
784	46663	12780
785	46724	12721
786	46775	12659
787	46839	12601
788	46903	12543
789	46973	12486
790	47038	12428
791	47114	12373
792	47191	12318
793	47268	12263
794	47338	12206
795	47406	12149
796	47481	12093
797	47547	12035
798	47627	11981
799	47690	11922
800	47757	11864
801	47817	11805
802	47875	11745
803	47948	11688
804	48001	11627
805	48054	11566
806	48136	11512
807	48213	11456
808	48282	11399
809	48347	11340
810	48419	11283
811	48492	11227
812	48561	11169
813	48618	11109
814	48693	11053
815	48770	10997
816	48853	10942
817	48943	10889
818	49019	10833
819	49085	10774
820	49159	10718
821	49228	10660
822	49315	10606
823	49391	10549
824	49468	10493
825	49534	10434
826	49603	10376
827	49672	10318
828	49742	10260
829	49807	10201
830	49879	10143
831	49952	10086
832	50021	10028
833	50098	9971
834	50176	9915
835	50262	9860
836	50335	9802
837	50400	9743
838	50477	9686
839	50552	9629
840	50625	9571
841	50687	9511
842	50750	9451
843	50809	9391
844	50876	9332
845	50924	9269
846	50996	9211
847	51067	9153
848	51133	9094
849	51186	9032
850	51263	8975
851	51343	8918
852	51412	8860
853	51472	8799
854	51542	8741
855	51600	8680
856	51661	8620
857	51740	8563
858	51799	8502
859	51850	8440
860	51893	8377
861	51952	8317
862	52009	8256
863	52064	8195
864	52121	8134
865	52181	8074
866	52236	8013
867	52304	7954
868	52355	7892
869	52402	7830
870	52455	7768
871	52523	7709
872	52589	7650
873	52641	7589
874	52705	7529
875	52763	7468
876	52823	7408
877	52893	7349
878	52960	7290
879	53025	7230
880	53087	7170
881	53155	7111
882	53227	7052
883	53292	6993
884	53356	6933
885	53412	6872
886	53501	6815
887	53572	6756
888	53636	6697
889	53690	6635
890	53742	6574
891	53792	6513
892	53849	6452
893	53915	6392
894	53975	6332
895	54051	6273
896	54121	6214
897	54187	6154
898	54250	6094
899	54318	6035
900	54504	5988
901	54574	5929
902	54652	5870
903	54712	5810
904	54775	5749
905	54857	5691
906	54937	5633
907	55122	5585
908	55218	5527
909	55301	5469
910	55366	5409
911	55423	5347
912	55479	5286
913	55552	5227
914	55620	5166
915	55678	5105
916	55743	5045
917	55806	4984
918	55917	4928
919	55977	4867
920	56033	4806
921	56098	4745
922	56163	4685
923	56226	4624
924	56287	4563
925	56344	4502
926	56400	4441
927	56465	4380
928	56526	4320
929	56594	4259
930	56660	4199
931	56725	4138
932	56788	4078
933	56846	4016
934	56919	3956
935	56991	3896
936	57051	3835
937	57106	3774
938	57163	3713
939	57230	3652
940	57288	3591
941	57350	3531
942	57411	3470
943	57470	3409
944	57530	3348
945	57583	3287
946	57648	3226
947	57704	3165
948	57765	3104
949	57830	3043
950	57890	2982
951	57950	2921
952	58019	2861
953	58071	2800
954	58145	2739
955	58189	2678
956	58254	2617
957	58315	2556
958	58371	2495
959	58433	2434
960	58497	2373
961	58557	2313
962	58602	2251
963	58664	2190
964	58719	2129
965	58779	2068
966	58838	2007
967	58903	1947
968	58968	1886
969	59023	1825
970	59092	1764
971	59152	1703
972	59214	1643
973	59270	1582
974	59329	1521
975	59384	1460
976	59450	1399
977	59512	1338
978	59573	1277
979	59621	1216
980	59683	1155
981	59741	1095
982	59800	1034
983	59862	973
984	59921	912
985	59985	851
986	60046	790
987	60111	730
988	60167	669
989	60232	608
990	60300	547
991	60362	486
992	60429	425
993	60499	365
994	60557	304
995	60623	243
996	60683	182
997	60743	121
998	60796	60
999	60858	0
